List;Trial;Item;Register;Wort;Sentence;Satz;Bild1;Bild2;Bild3;Bild4
2;1;21;1;<b>Bauch</b> ?;"Ich st&auml;hle jetzt meinen <b>Bauch</b>";"Welches Bild passt am besten f&uuml;r das Wort";Bauch-1.jpg;Wanst-1.jpg;Bauch-2.jpg;Wanst-2.jpg
2;2;8;2;"<b>Gr&uuml;nzeug</b> ?";"Ich esse jetzt mein <b>Gr&uuml;nzeug</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Gemuese-1.jpg;Gruenzeug-2.jpg;Gemuese-2.jpg;Gruenzeug-1.jpg
2;3;30;2;<b>Kneipe</b> ?;Ich streiche bald meine <b>Kneipe</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Schaenke-1.jpg;Kneipe-1.jpg;Kneipe-2.jpg;Schaenke-2.jpg
2;4;23;1;<b>Haare</b> ?;"Ich k&auml;mme gleich meine <b>Haare</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Haare-1.jpg;Haare-2.jpg;Maehne-1.jpg;Maehne-2.jpg
2;5;39;2;<b>Absteige</b> ?;Ich betreibe jetzt meine <b>Absteige</b>;"Welches Bild passt am besten f&uuml;r das Wort";Pension-2.jpg;Absteige-2.jpg;Pension-1.jpg;Absteige-1.jpg
2;6;12;1;<b>Pferde</b> ?;Ich striegel gleich meine <b>Pferde</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Gaule-1.jpg;Pferde-2.jpg;Pferde-1.jpg;Gaule-2.jpg
2;7;4;1;<b>Ohren</b> ?;Ich pierce bald meine <b>Ohren</b>;"Welches Bild passt am besten f&uuml;r das Wort";Ohren-2.jpg;Lauscher-1.jpg;Ohren-1.jpg;Lauscher-2.jpg
2;8;13;2;<b>Kritzelei</b> ?;"Ich kopiere sp&auml;ter meine <b>Kritzelei</b>";"Welches Bild passt am besten f&uuml;r das Wort";Zeichnung-1.jpg;Zeichnung-2.jpg;Kritzelei-1.jpg;Kritzelei-2.jpg
2;9;6;1;<b>Tassen</b> ?;"Ich t&ouml;pfere sp&auml;ter meine <b>Tassen</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Poette-1.jpg;Tassen-1.jpg;Poette-2.jpg;Tassen-2.jpg
2;10;22;1;<b>Hund</b> ?;Ich entwurme jetzt meinen <b>Hund</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Hund-2.jpg;Koeter-1.jpg;Hund-1.jpg;Koeter-2.jpg
2;11;26;2;<b>Bude</b> ?;Ich verkaufe bald meine <b>Bude</b>;"Welches Bild passt am besten f&uuml;r das Wort";Residenz-2.jpg;Residenz-1.jpg;Bude-1.jpg;Bude-2.jpg
2;12;14;2;<b>Klauen</b> ?;"Ich lackiere sp&auml;ter meine <b>Klauen</b>";"Welches Bild passt am besten f&uuml;r das Wort";Klauen-1.jpg;Fingernaegel-1.jpg;Klauen-2.jpg;Fingernaegel-2.jpg
2;13;7;1;<b>Fahrrad</b> ?;Ich fahre jetzt mein <b>Fahrrad</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Stahlross-1.jpg;Fahrrad-1.jpg;Fahrrad-2.jpg;Stahlross-2.jpg
2;14;20;2;<b>Schampus</b> ?;Ich serviere jetzt meinen <b>Schampus</b>;"Welches Bild passt am besten f&uuml;r das Wort";Schampus-1.jpg;Champagner-1.jpg;Champagner-2.jpg;Schampus-2.jpg
2;15;32;1;<b>Arznei</b> ?;Ich verschreibe bald meine <b>Arznei</b>;"Welches Bild passt am besten f&uuml;r das Wort";Pillen-1.jpg;Arznei-1.jpg;Arznei-2.jpg;Pillen-2.jpg
2;16;11;2;<b>Buxen</b> ?;"Ich b&uuml;gel gleich meine <b>Buxen</b>";"Welches Bild passt am besten f&uuml;r das Wort";Buxen-1.jpg;Buxen-2.jpg;Hosen-1.jpg;Hosen-2.jpg
2;17;15;2;"<b>B&ouml;ller</b> ?";"Ich z&uuml;nde jetzt meinen <b>B&ouml;ller</b>";"Welches Bild passt am besten f&uuml;r das Wort";Feuerwerkskoerper-1.jpg;Feuerwerkskoerper-2.jpg;Boeller-1.jpg;Boeller-2.jpg
2;18;18;1;<b>Tier</b> ?;"Ich f&uuml;ttere gleich mein <b>Tier</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Vieh-1.jpg;Vieh-2.jpg;Tier-1.jpg;Tier-2.jpg
2;19;16;2;<b>Lappen</b> ?;Ich beantrage jetzt meinen <b>Lappen</b>;"Welches Bild passt am besten f&uuml;r das Wort";Fuehrerschein-2.jpg;Fuehrerschein-1.jpg;Lappen-2.jpg;Lappen-1.jpg
2;20;9;1;<b>Autos</b> ?;Ich verschrotte bald meine <b>Autos</b>;"Welches Bild passt am besten f&uuml;r das Wort";Karren-1.jpg;Autos-1.jpg;Autos-2.jpg;Karren-2.jpg
2;21;36;2;<b>Funzel</b> ?;"Ich montiere sp&auml;ter meine <b>Funzel</b>";"Welches Bild passt am besten f&uuml;r das Wort";Funzel-1.jpg;Lampe-1.jpg;Lampe-2.jpg;Funzel-2.jpg
2;22;2;2;<b>Klamotten</b> ?;Ich falte gleich meine <b>Klamotten</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Klamotten-1.jpg;Klamotten-2.jpg;Kleidung-1.jpg;Kleidung-2.jpg
2;23;17;1;<b>WC</b> ?;Ich putze gleich mein <b>WC</b>;"Welches Bild passt am besten f&uuml;r das Wort";Klo-1.jpg;Klo-2.jpg;WC-1.jpg;WC-2.jpg
2;24;24;1;<b>Flasche</b> ?;"Ich bef&uuml;lle gleich meine <b>Flasche</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Pulle-2.jpg;Flasche-2.jpg;Pulle-1.jpg;Flasche-1.jpg
2;25;28;2;"<b>Tr&ouml;te</b> ?";"Ich spiele sp&auml;ter meine <b>Tr&ouml;te</b>";"Welches Bild passt am besten f&uuml;r das Wort";Troete-2.jpg;Trompete-2.jpg;Troete-1.jpg;Trompete-1.jpg
2;26;29;2;<b>Kippe</b> ?;Ich rauche bald meine <b>Kippe</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Kippe-1.jpg;Kippe-2.jpg;Zigarre-1.jpg;Zigarre-2.jpg
2;27;5;2;<b>Kammern</b> ?;"Ich renoviere sp&auml;ter meine <b>Kammern</b> ";"Welches Bild passt am besten f&uuml;r das Wort";Gemaecher-1.jpg;Gemaecher-2.jpg;Kammern-1.jpg;Kammern-2.jpg
2;28;27;1;<b>Kleider</b> ?;Ich schneidere jetzt meine <b>Kleider</b>;"Welches Bild passt am besten f&uuml;r das Wort";Fummel-1.jpg;Kleider-1.jpg;Fummel-2.jpg;Kleider-2.jpg
2;29;10;1;<b>Beine</b> ?;Ich rasiere bald meine <b>Beine</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Beine-1.jpg;Stelzen-1.jpg;Beine-2.jpg;Stelzen-2.jpg
2;30;35;1;<b>Augen</b> ?;"Ich schminke sp&auml;ter meine <b>Augen</b>";"Welches Bild passt am besten f&uuml;r das Wort";Glubscher-1.jpg;Glubscher-2.jpg;Augen-1.jpg;Augen-2.jpg
2;31;3;2;<b>Bruchbude</b> ?;Ich saniere bald meine <b>Bruchbude</b>;"Welches Bild passt am besten f&uuml;r das Wort";Bruchbude-2.jpg;Wohnung-2.jpg;Bruchbude-1.jpg;Wohnung-1.jpg
2;32;40;1;<b>Hausschuhe</b> ?;Ich trage jetzt meine <b>Hausschuhe</b>;"Welches Bild passt am besten f&uuml;r das Wort";Schlappen-2.jpg;Hausschuhe-2.jpg;Schlappen-1.jpg;Hausschuhe-1.jpg
2;33;33;1;"<b>B&uuml;cher</b> ?";"Ich lese sp&auml;ter meine <b>B&uuml;cher</b>";"Welches Bild passt am besten f&uuml;r das Wort";Buecher-2.jpg;Waelzer-1.jpg;Waelzer-2.jpg;Buecher-1.jpg
2;34;38;1;"<b>Getr&auml;nke</b> ?";"Ich versch&uuml;tte gleich meine <b>Getr&auml;nke</b>";"Welches Bild passt am besten f&uuml;r das Wort";Pluerre-2.jpg;Getraenke-1.jpg;Getraenke-2.jpg;Pluerre-1.jpg
2;35;1;2;<b>Latschen</b> ?;Ich binde gleich meine <b>Latschen</b>;"Welches Bild passt am besten f&uuml;r das Wort";Latschen-1.jpg;Latschen-2.jpg;Schuhe-1.jpg;Schuhe-2.jpg
2;36;19;2;<b>Wisch</b> ?;Ich unterschreibe jetzt meinen <b>Wisch</b>;"Welches Bild passt am besten f&uuml;r das Wort";Antrag-1.jpg;Antrag-2.jpg;Wisch-1.jpg;Wisch-2.jpg
2;37;25;2;<b>Mauken</b> ?;"Ich pedik&uuml;re bald meine <b>Mauken</b>";"Welches Bild passt am besten f&uuml;r das Wort";Fuesse-2.jpg;Mauken-1.jpg;Fuesse-1.jpg;Mauken-2.jpg
2;38;37;1;<b>Finger</b> ?;Ich wasche gleich meine <b>Finger</b> ;"Welches Bild passt am besten f&uuml;r das Wort";Finger-2.jpg;Griffel-1.jpg;Finger-1.jpg;Griffel-2.jpg
2;39;31;2;<b>Knarre</b> ?;Ich feuer bald meine <b>Knarre</b>;"Welches Bild passt am besten f&uuml;r das Wort";Pistole-1.jpg;Knarre-1.jpg;Knarre-2.jpg;Pistole-2.jpg
2;40;34;1;"<b>Erfrischungsgetr&auml;nke</b> ?";"Ich trinke sp&auml;ter meine <b>Erfrischungsgetr&auml;nke</b>";"Welches Bild passt am besten f&uuml;r das Wort";Erfrischungsgetränke-1.jpg;Limos-1.jpg;Limos-2.jpg;Erfrischungsgetränke-2.jpg